itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
7249291,BYO Pizza,,1199,1199,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,True
7111879,Slice - Apple Pie,,500,500,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-04-16 11:00:00,True
8512134,The Slice Lunch - Specials Tu,,2729,2729,items/cover_item_4_4_2503_1726873687589.jpg,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8621606,Whole Pizza - Chicken Bacon Ranch,"homemade pizza dough, tomato sauce, mortadella, salami, Italian sausage, mozzarella cheese, scallions",2929,2929,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-05-18 11:00:00,True
8628888,Slice Chicken Bacon Ranch Pizza,"homemade pizza dough, tomato sauce, mortadella, salami, Italian sausage, mozzarella cheese, scallions",750,750,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-05-18 11:00:00,True
8628889,Whole Pizza - Sun Dried Tomato and Goat Cheese,"homemade pizza dough, tomato sauce, fresh mozzarella, basil, tomatoes, herbs",2729,2729,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-05-18 11:00:00,True
8761682,The Slice Lunch Special 1 Th,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8761683,The Slice Lunch Special 2 Th,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8761684,The Slice Lunch - Specials M 1,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8761685,The Slice Lunch - Specials M 2,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8761686,The Slice Lunch - Specials W,,2729,2729,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8773380,The Slice Lunch - Special F 1,"fresh focaccia, pesto, mortadella, provolone, roasted bell peppers and eggplant, olive oil, balsamic",1189,1189,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-05-06 11:00:00,False
8773381,The Slice Lunch - Special Tu 2,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
8773382,The Slice Lunch - Special W 2,,0,0,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,False
6219626,Slice Sun Dried Tomato and Goat Cheese Pizza,"homemade pizza dough, tomato sauce, fresh mozzarella, basil, tomatoes, herbs",650,650,,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],2025-05-18 11:00:00,True
6219635,Sliced Cheese,,650,650,,230,13,9,19,1,4,20,500,The Slice Lunch Specials,,[14961],[],2025-05-11 11:00:00,True
6219636,Sliced Pepperoni,,736,736,,370,25,15,20,1,5,45,1000,The Slice Lunch Specials,,[14961],[],2025-05-11 11:00:00,True
6219641,Whole Cheese Pizza,,2785,2785,,2269,83,97,284,20,31,145,5101,The Slice Lunch Specials,,[14961],[],2025-03-16 11:00:00,True
6219642,Whole Pepperoni Pizza,,2920,2920,,1418,60,59,161,12,16,126,3446,The Slice Lunch Specials,,[14961],[],2025-03-16 11:00:00,True
6219621,Fountain Soda,,250,250,items/cover_item_4_4_2504_1660776016583.jpg,0,0,0,0,0,0,0,0,The Slice Lunch Specials,,[14961],[],,True
8391562,Slice - Apple Pie,,500,500,items/cover_item_4_4_2666_1706421488317.jpg,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],2025-05-18 11:00:00,True
8761689,Dinner Special 3 Th,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8761690,Dinner Special 4 Th,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8761691,The Slice Dinner - Specials M 1,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8761692,The Slice Dinner - Specials M 2,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8761693,The Slice Dinner - Specials W 1,,1379,1379,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8773383,Slice Dinner Special F,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8773385,The Slice Dinner - Special W 2,,0,0,,0,0,0,0,0,0,0,0,The Slice Dinner Specials,,[14962],[],,False
8674741,Pizza Slice + Salad Combo,,900,900,,0,0,0,0,0,0,0,0,The Slice Value Menu,,"[14961, 14962]",[],,True
8674738,Muffaletta Capresse,,1000,1000,,910,64,32,52,5,4,87,2637,The Slice Value Menu,,"[14961, 14962]",[],,True
8674739,Muffaletta Chicken Pesto,,1100,1100,,0,0,0,0,0,0,0,0,The Slice Value Menu,,"[14961, 14962]",[],,True
8674740,Capicollo Mortadella Focaccia,Sliced capicollo and mortadella/ roasted peppers/ chopped greek olives/ red onions/ garlic aioli/ provolone cheese/ fresh arugula.,1340,1340,,0,0,0,0,0,0,0,0,The Slice Value Menu,,"[14961, 14962]",[],,True
8674787,Meatball Sub,,1100,1100,,437,18,27,41,2,5,79,808,The Slice Value Menu,,"[14961, 14962]",[],2025-05-18 11:00:00,True
8761687,Cheese Pizza Combo,includes a fountain drink and a chocolate chip cookie,1500,1500,,0,0,0,0,0,0,0,0,The Slice - Student Tour Groups,,[14961],[],,True
8761688,Pepperoni Pizza Combo,includes a fountain drink and a chocolate chip cookie,1500,1500,,0,0,0,0,0,0,0,0,The Slice - Student Tour Groups,,[14961],[],,True
6219622,GF Cheese Pizza,Gluten-Free Cheese Pizza,1050,1050,items/cover_item_4_4_2504_1660777500467.jpg,450,21,19,46,1,9,35,950,The Slice Allergen,,"[14961, 14962]",[],2025-05-11 11:00:00,True
6219623,GF Pepperoni Pizza,Gluten-Free Pepperoni Pizza,1250,1250,items/cover_item_4_4_2503_1726873557153.jpg,510,28,18,45,1,8,45,1210,The Slice Allergen,,"[14961, 14962]",[],2025-05-11 11:00:00,True
6700992,Pizza Party,- Whole cheese pizza with a family size of Ceasar salad. - Whole pepperoni pizza with a family size of Ceasar salad.,0,3000,items/cover_item_4_4_2503_1700593634814.jpg,0,0,0,0,0,0,0,0,Late Night,,[15229],[],,False
